Cabela's Big Game Hunter 2012,Caça/Pesca,Cauldron,Activision,27 de setembro de 2011,27 de setembro de 2011,Não lançado,Não lançado
Cabela's Big Game Hunter Pro Hunts,Caça/Pesca,Cauldron,Activision,25 de março de 2014,25 de março de 2014,Não lançado,Não lançado
Cabela's Big Game Hunter: Hunting Party,Caça/Pesca,Activision,Activision,1 de novembro de 2011,1 de novembro de 2011,Não lançado,Não lançado
Cabela's Dangerous Hunts 2009,Caça/Pesca,Fun Labs,Activision,23 de setembro de 2008,20 de novembro de 2008,Não lançado,Não lançado
Cabela's Dangerous Hunts 2011,Caça/Pesca,Cauldron,Activision,26 de outubro de 2010,6 de maio de 2011,Não lançado,Não lançado
Cabela's Dangerous Hunts 2013,Caça/Pesca,Cauldron,Activision,23 de outubro de 2012,23 de outubro de 2012,Não lançado,Não lançado
Cabela's Hunting Expeditions,Caça/Pesca,Fun Labs,Activision,23 de outubro de 2012,23 de outubro de 2012,Não lançado,Não lançado
Cabela's North American Adventures,Caça/Pesca,Fun Labs,Activision,14 de setembro de 2010,14 de setembro de 2010,Não lançado,Não lançado
Cabela's Outdoor Adventures,Caça/Pesca,Activision,Activision,9 de setembro de 2009,9 de setembro de 2009,Não lançado,Não lançado
Cabela's Survival: Shadows of Katmai,Caça/Pesca,Fun Labs,Activision,1 de maio de 2012,1 de maio de 2012,Não lançado,Não lançado
Cabela's Trophy Bucks,Caça/Pesca,Fun Labs,Activision,25 de setembro de 2007,25 de setembro de 2007,Não lançado,Não lançado
Call of Duty 2[nota 7],Tiro em primeira pessoa,Infinity Ward,Activision,22 de novembro de 2005[1],2 de dezembro de 2005,15 de junho de 2006,Não lançado
Call of Duty 3,Tiro em primeira pessoa,Treyarch,Activision,7 de novembro de 2006,10 de novembro de 2006,29 de março de 2007,22 de novembro de 2013
Call of Duty 4: Modern Warfare,Tiro em primeira pessoa,Infinity Ward,Activision,5 de novembro de 2007,9 de novembro de 2007,27 de dezembro de 2007,22 de novembro de 2013
Call of Duty: Advanced Warfare,Tiro em primeira pessoa,"Sledgehammer Games, High Moon Studios",Activision,4 de novembro de 2014,4 de novembro de 2014,4 de novembro de 2014,22 de novembro de 2013
Call of Duty: Black Ops,Tiro em primeira pessoa,Treyarch,Activision,10 de novembro de 2010,10 de novembro de 2010,18 de novembro de 2010,22 de novembro de 2013
Call of Duty: Black Ops II,Tiro em primeira pessoa,Treyarch,Activision,13 de novembro de 2012,13 de novembro de 2012,13 de novembro de 2012,22 de novembro de 2013
Call of Duty: Black Ops III,Tiro em primeira pessoa,"Treyarch, Beenox",Activision,6 de novembro de 2015,6 de novembro de 2015,6 de novembro de 2015,22 de novembro de 2013
Call of Duty: Ghosts,Tiro em primeira pessoa,Infinity Ward,"Activision, Square EnixJP",5 de novembro de 2013,5 de novembro de 2013,14 de novembro de 2013,22 de novembro de 2013
Call of Duty: Modern Warfare 2,Tiro em primeira pessoa,Infinity Ward,Activision,10 de novembro de 2009,10 de novembro de 2009,Não lançado,22 de novembro de 2013
Call of Duty: Modern Warfare 3,Tiro em primeira pessoa,"Infinity Ward, Sledgehammer Games",Activision,8 de novembro de 2011,8 de novembro de 2011,Não lançado,22 de novembro de 2013
Call of Duty: World at War,Tiro em primeira pessoa,Treyarch,Activision,11 de novembro de 2008,14 de novembro de 2008,Não lançado,22 de novembro de 2013
Call of Juarez,Tiro em primeira pessoa,Techland,Ubisoft,5 de junho de 2007,29 de junho de 2007,28 de fevereiro de 2008,22 de novembro de 2013
Call of Juarez: Bound in Blood,Tiro em primeira pessoa,Techland,Ubisoft,30 de junho de 2009,3 de julho de 2009,23 de julho de 2009,22 de novembro de 2013
Call of Juarez: The Cartel,Tiro em primeira pessoa,Techland,Ubisoft,19 de julho de 2011,22 de julho de 2011,Não lançado,22 de novembro de 2013
Capcom Digital Collection[nota 8],Compilação,Capcom,Capcom,27 de março de 2012,27 de março de 2012,Não lançado,22 de novembro de 2013
Captain America: Super Soldier,Ação,Next Level Games,Sega,19 de julho de 2011,15 de julho de 2011,Não lançado,22 de novembro de 2013
Carrier Command: Gaea Mission,"Estratégia em tempo real, Ação",Bohemia Interactive Studio,"Bohemia Interactive Studio, Mastertronic, Rising Star Games",28 de setembro de 2012,28 de setembro de 2012,Não lançado,22 de novembro de 2013
Cars,"Corrida, Aventura",Rainbow Studios,THQ,23 de outubro de 2006,17 de novembro de 2006,Não lançado,22 de novembro de 2013
