D/Generation HD,West Coast Software,West Coast Software,27/Mar/2018
Dandy Dungeon: Legend of Brave Yamada,Onion Games,Onion Games,27/Jun/2019
Daggerhood,Woblyware,Ratalaika Games,22/Fev/2019
Damascus Gear Operation Tokyo,"Arc System Works Co., Ltd.","Arc System Works Co., Ltd.",01/Mar/2018
Damsel,Screwtape Studios,Screwtape Studios,07/Ago/2019
Dandara,Long Hat House,Raw Fury,06/Fev/2018
Danger Mouse: The Danger Games,9th Impact,9th Impact,13/Set/2018
Danmaku Unlimited 3,Doragon Entertainment,Doragon,13/Mar/2018
Dark Devotion,Hibernian Workshop,The Arcade Crew,25/Abr/2019
Dark Quest 2,Brain Seal Ltd,Brain Seal Entertainment,27/Fev/2019
Dark Souls: Remastered,FromSoftware,Bandai Namco Entertainment,19/Out/2018
Dark Witch Music Episode: Rudymical,Inside System / Esquadra,Flyhigh Works,11/Mai/2017
Darkest Dungeon,Red Hook Studios,Red Hook Studios,18/Jan/2018
Darksiders Warmastered Edition,Kaiko,THQ Nordic,02/Abr/2019
Darkwood,Acid Wizard / Crunching Koalas,Crunching Koalas,16/Mai/2019
Darts Up,EnjoyUp Games,EnjoyUp Games,13/Jul/2018
Dawn of Survivors,WiSTONE Entertainment,WiSTONE Entertainment,18/Abr/2019
